player_id,name,current_value,current_date,peak_value,peak_date,days_since_update,is_stale,total_goals,total_assists,total_minutes,total_appearances,total_yellow_cards,total_red_cards,goals_per_90,assists_per_90,date_of_birth,position,sub_position,foot,height_in_cm,country_of_citizenship,age,log_value,age_squared,recent_goals_per_90,recent_assists_per_90,recent_minutes,league_tier,league_tier_missing,predicted_log_value,residual
58267,Castro,50000,2025-06-23,5750000,2016-01-18,249,False,32,41,24851,362,46,1,0.1158907086233954,0.1484849704237254,1988-04-02,Midfield,Central Midfield,right,181.0,Portugal,37.223819301848046,10.819798284210286,1385.6127234166352,0.0,0.0,16.0,1.0,0,11.953336881868129,-1.133538597657843
205116,Talocha,75000,2025-06-23,900000,2018-02-07,249,False,5,9,17172,201,33,0,0.0262054507337526,0.0471698113207547,1989-08-30,Defender,Left-Back,left,180.0,Portugal,35.813826146475016,11.225256725762893,1282.6301432499374,0.0,0.0,0.0,1.0,1,12.358880028249757,-1.133623302486864
418173,Djihad Bizimana,850000,2025-07-18,1000000,2024-12-17,224,False,2,1,6225,87,19,0,0.0289156626506024,0.0144578313253012,1996-12-12,Midfield,Defensive Midfield,right,180.0,Rwanda,28.5968514715948,13.652992804936396,817.7799140884537,0.0,0.0,1373.0,1.0,0,13.733589176253702,-0.08059637131730568
517705,Manuel Namora,100000,2025-09-18,150000,2017-09-08,162,False,0,0,322,10,1,0,0.0,0.0,1998-02-12,Attack,Centre-Forward,left,180.0,Portugal,27.59753593429158,11.51293546492023,761.6239896445151,0.0,0.0,308.0,1.0,0,12.85765610047268,-1.3447206355524504
395228,Till Cissokho,600000,2025-09-30,1000000,2023-06-16,150,False,0,0,360,4,1,0,0.0,0.0,2000-02-08,Defender,Centre-Back,left,200.0,France,25.642710472279266,13.304686600863562,657.5486003651407,0.0,0.0,90.0,1.0,0,12.857623449239435,0.4470631516241266
618869,Metehan Baltacı,2200000,2025-10-01,2800000,2024-12-23,149,False,0,1,484,16,1,1,0.0,0.1859504132231405,2002-11-03,Defender,Centre-Back,right,189.0,Türkiye,22.910335386721425,14.603968372873895,524.88346753206,0.0,0.0,394.0,1.0,0,13.35589658949128,1.2480717833826152
88680,Luca Caldirola,400000,2025-10-06,4000000,2014-07-10,144,False,6,3,14733,187,40,0,0.0366524129505192,0.0183262064752596,1991-02-01,Defender,Centre-Back,left,186.0,Italy,34.6776180698152,12.899222326086994,1202.537194995974,0.0,0.0,775.0,1.0,0,12.665963678444394,0.23325864764260018
346469,Jaden Brown,125000,2025-10-21,750000,2020-02-27,129,False,0,2,955,19,2,0,0.0,0.1884816753926701,1999-01-24,Defender,Left-Back,left,175.0,England,26.740588637919235,11.736077016252437,715.0590807024153,0.0,0.0,0.0,1.0,1,12.897631199178628,-1.1615541829261904
347619,Allan Campbell,800000,2025-10-21,3000000,2023-06-01,129,False,16,8,11843,145,19,0,0.1215908131385628,0.0607954065692814,1998-07-04,Midfield,Central Midfield,right,174.0,Scotland,27.299110198494184,13.592368256649284,745.2414176295291,0.0,0.0,671.0,1.0,0,14.852838442722739,-1.260470186073455
353252,Orest Kuzyk,250000,2025-10-21,500000,2023-06-21,129,False,15,14,10343,153,13,0,0.1305230590737697,0.121821521802185,1995-05-17,Attack,Left Winger,right,174.0,Ukraine,30.431211498973305,12.429220196836383,926.058633295245,0.0,0.0,3.0,1.0,0,13.499027908761589,-1.0698077119252059
356936,Jon Sporn,400000,2025-10-21,600000,2023-12-11,129,False,3,2,3340,41,11,0,0.0808383233532934,0.0538922155688622,1997-05-22,Midfield,Central Midfield,right,178.0,Slovenia,28.41615331964408,12.899222326086994,807.4777694855194,0.0,0.0,785.0,1.0,0,13.330421930771719,-0.43119960468472485
357776,Hrvoje Ilic,700000,2025-10-21,800000,2025-06-10,129,False,6,6,3056,46,6,1,0.1767015706806282,0.1767015706806282,1999-04-14,Midfield,Attacking Midfield,left,176.0,Croatia,26.521560574948666,13.45883704259595,703.3931753306714,0.1752109020116807,0.1752109020116807,1541.0,1.0,0,14.155650533972551,-0.6968134913766004
383198,Ilya Shevtsov,75000,2025-10-21,400000,2021-01-14,129,False,4,2,673,29,1,0,0.5349182763744428,0.2674591381872214,2000-04-13,Attack,Centre-Forward,right,185.0,Ukraine,25.522245037645447,11.225256725762893,651.3849917616177,0.0,0.33088235294117646,272.0,1.0,0,12.721402954133008,-1.4961462283701152
396402,Volodymyr Yakimets,75000,2025-10-21,500000,2021-12-20,129,False,1,2,5077,63,8,1,0.0177270041363009,0.0354540082726019,1998-03-03,Defender,Left-Back,right,173.0,Ukraine,27.63586584531143,11.225256725762893,763.7410810200507,0.0,0.0,0.0,1.0,1,13.269526422676641,-2.044269696913748
396411,Vladyslav Bugay,150000,2025-10-21,300000,2024-06-06,129,False,8,3,3199,66,5,0,0.2250703344795248,0.0844013754298218,1997-10-27,Attack,Centre-Forward,right,186.0,Ukraine,27.98357289527721,11.918397239722838,783.0803519852933,0.0,0.0,0.0,1.0,1,13.184205402302963,-1.2658081625801252
419062,Klim Prykhodko,200000,2025-10-21,400000,2024-06-06,129,False,5,1,1763,44,6,0,0.2552467385138968,0.0510493477027793,2000-02-09,Midfield,Defensive Midfield,right,184.0,Ukraine,25.697467488021903,12.206077645517674,660.3598352979427,0.0,0.0,479.0,1.0,0,13.342359304767966,-1.136281659250292
407624,Quentin Daubin,300000,2025-10-21,800000,2022-06-02,129,False,0,0,784,19,4,0,0.0,0.0,1995-07-03,Midfield,Central Midfield,right,183.0,France,30.302532511978097,12.611541086966115,918.2434766394896,0.0,0.0,731.0,1.0,0,12.889416840234006,-0.2778757532678906
409886,Úmaro Embaló,600000,2025-10-21,1500000,2022-03-16,129,False,6,4,2506,53,6,0,0.2154828411811652,0.1436552274541101,2001-05-06,Attack,Right Winger,left,170.0,Portugal,24.459958932238195,13.304686600863562,598.2895909667791,1.1764705882352942,0.0,153.0,1.0,0,13.878370711386363,-0.5736841105228017
